Date,Transfer Station Landfill Garbage (tonnes) (UBCV),Containers (tonnes) (UBCV),Corrugated Cardboard (tonnes) (UBCV),Mixed Paper (tonnes) (UBCV),Office Paper (tonnes) (UBCV),Moisture Correction (tonnes) (UBCV),Refuse (ICI Waste) (tonnes) (UBCV)
2013-01-01T00:00:00Z,269.26,NA,NA,NA,NA,NA,NA
2013-02-01T00:00:00Z,234.86,NA,NA,NA,NA,NA,NA
2013-03-01T00:00:00Z,252.7,NA,NA,NA,NA,NA,NA
2013-04-01T00:00:00Z,323.23,NA,NA,NA,NA,NA,NA
2013-05-01T00:00:00Z,208.77,NA,NA,NA,NA,NA,NA
2013-06-01T00:00:00Z,167.4,NA,NA,NA,NA,NA,NA
2013-07-01T00:00:00Z,213.72,NA,NA,NA,NA,NA,NA
2013-08-01T00:00:00Z,213.93,NA,NA,NA,NA,NA,NA
2013-09-01T00:00:00Z,269.2,NA,NA,NA,NA,NA,NA
2013-10-01T00:00:00Z,285.45,NA,NA,NA,NA,NA,NA
2013-11-01T00:00:00Z,240.4,NA,NA,NA,NA,NA,NA
2013-12-01T00:00:00Z,224.3,NA,NA,NA,NA,NA,NA
2014-01-01T00:00:00Z,238.71,NA,NA,NA,NA,NA,NA
2014-02-01T00:00:00Z,241.36,NA,NA,NA,NA,NA,NA
2014-03-01T00:00:00Z,264.91,NA,NA,NA,NA,NA,NA
2014-04-01T00:00:00Z,281,NA,NA,NA,NA,NA,NA
2014-05-01T00:00:00Z,235.51,NA,NA,NA,NA,NA,NA
2014-06-01T00:00:00Z,171.69,NA,NA,NA,NA,NA,NA
2014-07-01T00:00:00Z,198.1,NA,NA,NA,NA,NA,NA
2014-08-01T00:00:00Z,201.22,11.6,37.77,7.73,27.39,NA,NA
2014-09-01T00:00:00Z,255.84,18.51,37.74,11.7,29.38,NA,NA
2014-10-01T00:00:00Z,265.39,18.65,44.62,9.1,29.62,NA,NA
2014-11-01T00:00:00Z,272.62,17.15,40.19,8.01,24.26,NA,NA
2014-12-01T00:00:00Z,224.77,13,37.33,20.02,13.86,-0.29,NA
2015-01-01T00:00:00Z,200.55,15.74,31.11,14.13,25.66,NA,NA
2015-02-01T00:00:00Z,267.06,14.74,32.76,8.84,27.93,NA,NA
2015-03-01T00:00:00Z,254.21,17.51,40.57,10.55,23.71,-0.49,1.88
2015-04-01T00:00:00Z,305.27,19.01,37.32,17.08,21.83,NA,NA
2015-05-01T00:00:00Z,228.06,12.7,25.39,11.5,25.78,NA,NA
2015-06-01T00:00:00Z,183.53,11.45,23.04,9.18,26.35,NA,NA
2015-07-01T00:00:00Z,176.2,10.84,27.93,12.18,27.01,NA,NA
2015-08-01T00:00:00Z,179.59,10.62,33.04,14.91,16.83,NA,NA
2015-09-01T00:00:00Z,237.35,17.62,42.09,10.56,25.95,NA,1.08
2015-10-01T00:00:00Z,253.39,23.32,36.17,11.01,23.17,NA,NA
2015-11-01T00:00:00Z,258.45,21.72,45.83,11.59,21.72,NA,NA
2015-12-01T00:00:00Z,226.26,18.75,29.54,12.13,26.34,NA,NA
2016-01-01T00:00:00Z,227.86,19.35,53.29,8.3,30.07,NA,NA
2016-02-01T00:00:00Z,225.9,21.18,32.2,8.44,27.04,NA,NA
2016-03-01T00:00:00Z,244.56,26.31,52.23,10.31,25.23,NA,NA
2016-04-01T00:00:00Z,285.51,26.17,39.75,17.25,27.91,NA,NA
2016-05-01T00:00:00Z,229.07,17.01,26.27,15.89,21.49,NA,NA
2016-06-01T00:00:00Z,179.38,13.24,26.44,10.71,21.92,NA,NA
2016-07-01T00:00:00Z,158.94,13.46,34.08,8.69,21.88,NA,NA
2016-08-01T00:00:00Z,217.23,14.66,33.63,9.3,22.81,NA,NA
2016-09-01T00:00:00Z,299.24,23.46,55.19,14.97,20.08,-0.25,NA
2016-10-01T00:00:00Z,252.25,24.8,42.6,13.71,15.69,NA,0.15
2016-11-01T00:00:00Z,302.89,20,45.12,14,20,NA,NA
2016-12-01T00:00:00Z,175.56,20.09,25.1,12.36,18.43,NA,NA
2017-01-01T00:00:00Z,265.38,19.55,48.42,18.76,15.26,NA,NA
2017-02-01T00:00:00Z,256.05,21.03,39.04,15.54,14.99,NA,NA
2017-03-01T00:00:00Z,294.1,25.74,40.11,16.68,15.92,NA,NA
2017-04-01T00:00:00Z,306.57,23.58,37.27,25.16,13.87,NA,NA
2017-05-01T00:00:00Z,224.23,14.22,30.58,20.13,12.83,-0.29,NA
2017-06-01T00:00:00Z,183.97,13.68,26.4,15.78,13.6,NA,NA
2017-07-01T00:00:00Z,188.28,15.53,30.92,14.42,17.5,NA,NA
